epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14657.6,1.30229,1.15868,1.46444,0.72485,0.72811,0.75968,0.42147,1.5633,1.14778,1.616,0.00492625,0.00492625,0.00492625
43,15006.4,1.2997,1.15843,1.45941,0.73933,0.71028,0.76133,0.42005,1.56278,1.14104,1.61393,0.0048025,0.0048025,0.0048025
44,15354.6,1.2934,1.15304,1.46129,0.78214,0.67754,0.75857,0.41699,1.57129,1.1344,1.62526,0.00467875,0.00467875,0.00467875
45,15703.1,1.29199,1.14444,1.45265,0.73646,0.71944,0.75585,0.42002,1.56887,1.14314,1.62168,0.004555,0.004555,0.004555
46,16051.2,1.28815,1.13348,1.45093,0.78494,0.67631,0.75858,0.41987,1.57836,1.14286,1.6329,0.00443125,0.00443125,0.00443125
47,16399.8,1.28096,1.12384,1.44655,0.77602,0.68127,0.76077,0.42348,1.57659,1.12725,1.63387,0.0043075,0.0043075,0.0043075
48,16748.5,1.27075,1.10832,1.43589,0.76705,0.67604,0.76029,0.41941,1.57879,1.13274,1.63502,0.00418375,0.00418375,0.00418375
49,17097.1,1.2719,1.11866,1.44176,0.73523,0.69353,0.75725,0.4208,1.57794,1.13489,1.63034,0.00406,0.00406,0.00406
50,17446,1.26864,1.10385,1.43564,0.74924,0.69013,0.75768,0.42217,1.57488,1.12898,1.62792,0.00393625,0.00393625,0.00393625
51,17795.1,1.26423,1.09617,1.42737,0.72672,0.72262,0.75484,0.4219,1.57831,1.12838,1.62377,0.0038125,0.0038125,0.0038125
52,18143.3,1.258,1.09236,1.42899,0.72907,0.71667,0.75505,0.42337,1.58024,1.11975,1.63065,0.00368875,0.00368875,0.00368875
53,18492.5,1.25545,1.07665,1.42565,0.75872,0.68003,0.75894,0.42334,1.58119,1.11154,1.63387,0.003565,0.003565,0.003565
54,18841.4,1.24896,1.06396,1.42228,0.7529,0.70779,0.76093,0.42224,1.58161,1.10877,1.63602,0.00344125,0.00344125,0.00344125
55,19190,1.24323,1.06129,1.41211,0.74418,0.70654,0.75784,0.42293,1.58056,1.11217,1.63462,0.0033175,0.0033175,0.0033175
56,19538.5,1.23402,1.04161,1.41096,0.74867,0.70925,0.76141,0.42396,1.57658,1.10936,1.63178,0.00319375,0.00319375,0.00319375
57,19886.8,1.23103,1.03805,1.40593,0.74733,0.71866,0.76244,0.42363,1.58274,1.10496,1.63337,0.00307,0.00307,0.00307
58,20235.3,1.22415,1.03495,1.40124,0.74791,0.70235,0.75969,0.42491,1.58626,1.10693,1.63554,0.00294625,0.00294625,0.00294625
59,20583.5,1.22456,1.0357,1.39784,0.75097,0.69934,0.75848,0.4239,1.59072,1.10444,1.64029,0.0028225,0.0028225,0.0028225
60,20932.4,1.21941,1.02452,1.39422,0.71576,0.72959,0.75865,0.4241,1.59413,1.10264,1.64464,0.00269875,0.00269875,0.00269875
61,21280.9,1.21375,1.01161,1.39315,0.71261,0.7405,0.75936,0.42435,1.59306,1.10063,1.6467,0.002575,0.002575,0.002575
62,21629.9,1.21223,1.00827,1.38979,0.71756,0.73808,0.76087,0.42472,1.59089,1.1003,1.64681,0.00245125,0.00245125,0.00245125
63,21978.3,1.20159,1.00061,1.37953,0.73389,0.71418,0.75783,0.42241,1.5935,1.10151,1.64839,0.0023275,0.0023275,0.0023275
64,22326.8,1.20389,0.99969,1.38371,0.7329,0.71673,0.75682,0.42267,1.59284,1.0993,1.64688,0.00220375,0.00220375,0.00220375
65,22675.5,1.1929,0.99001,1.37319,0.72911,0.71932,0.75922,0.42322,1.59183,1.09932,1.64653,0.00208,0.00208,0.00208
66,23024.6,1.18593,0.97533,1.37155,0.73655,0.72152,0.75867,0.42338,1.59264,1.09504,1.64875,0.00195625,0.00195625,0.00195625
67,23373.5,1.19715,0.97916,1.37429,0.71641,0.73623,0.75886,0.42272,1.5936,1.09386,1.64936,0.0018325,0.0018325,0.0018325
68,23722,1.18104,0.96821,1.36477,0.72923,0.72214,0.75512,0.42254,1.59476,1.09469,1.65014,0.00170875,0.00170875,0.00170875
69,24070,1.17737,0.96298,1.36153,0.72935,0.72572,0.75595,0.42345,1.59417,1.09287,1.65141,0.001585,0.001585,0.001585
70,24419,1.16875,0.94982,1.3559,0.7212,0.73437,0.75808,0.42411,1.59456,1.0927,1.65264,0.00146125,0.00146125,0.00146125
71,24767.3,1.21666,0.86221,1.39538,0.72819,0.73265,0.75578,0.42246,1.59693,1.0919,1.65494,0.0013375,0.0013375,0.0013375
72,25114.8,1.19593,0.8344,1.38139,0.72776,0.73286,0.75514,0.42156,1.59882,1.09255,1.65638,0.00121375,0.00121375,0.00121375
73,25462.1,1.19283,0.82904,1.37979,0.72853,0.7293,0.75502,0.42283,1.6007,1.09367,1.65832,0.00109,0.00109,0.00109
74,25809.5,1.17321,0.81106,1.36577,0.73672,0.72215,0.75465,0.42378,1.6023,1.09202,1.66085,0.00096625,0.00096625,0.00096625
75,26156.9,1.16374,0.79342,1.35239,0.74179,0.71881,0.75558,0.42357,1.60419,1.09256,1.66345,0.0008425,0.0008425,0.0008425
76,26504.5,1.15716,0.78873,1.35234,0.73888,0.71342,0.75567,0.42295,1.60614,1.09324,1.66615,0.00071875,0.00071875,0.00071875
77,26851.6,1.14886,0.78403,1.34442,0.73963,0.7057,0.75648,0.42221,1.60707,1.09377,1.6687,0.000595,0.000595,0.000595
78,27198.9,1.14376,0.77496,1.34666,0.73809,0.70884,0.7569,0.42208,1.60898,1.09305,1.67177,0.00047125,0.00047125,0.00047125
79,27545.9,1.1381,0.7641,1.33622,0.73548,0.7052,0.75618,0.42064,1.61024,1.09278,1.67426,0.0003475,0.0003475,0.0003475
80,27893.2,1.13179,0.76338,1.33474,0.73859,0.70734,0.7572,0.42058,1.61211,1.09192,1.67715,0.00022375,0.00022375,0.00022375
